City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,aklavik,68.2191,-135.0107,-25.46,86,100,9.91,CA,1670270860
269,mao,39.8885,4.2658,12.31,100,0,3.09,ES,1670270936
270,wilmington,34.2257,-77.9447,16.11,72,83,1.79,US,1670270740
271,ngunguru,-35.6167,174.5,16.55,76,100,0.88,NZ,1670270937
272,college,64.8569,-147.8028,-9.68,87,75,0.0,US,1670270937
273,new norfolk,-42.7826,147.0587,12.18,69,85,0.89,AU,1670270938
274,henties bay,-22.116,14.2845,14.88,86,0,4.49,NA,1670270938
275,nueva loja,0.0847,-76.8828,30.01,66,40,3.09,EC,1670270938
276,zorritos,-3.6805,-80.6782,24.16,68,52,5.55,PE,1670270939
277,awassa,7.05,38.4667,17.86,58,54,2.25,ET,1670270939
278,bengkulu,-3.8004,102.2655,23.36,91,100,1.36,ID,1670270843
279,sioux lookout,50.1001,-91.917,-16.96,66,75,5.14,CA,1670270940
280,queanbeyan,-35.35,149.2333,13.58,81,40,2.57,AU,1670270941
281,sydney,-33.8679,151.2073,18.64,86,40,5.14,AU,1670270423
282,saint george,37.1041,-113.5841,13.02,59,40,1.54,US,1670270830
283,ponta do sol,32.6667,-17.1,19.28,75,99,2.02,PT,1670270942
284,ostersund,63.1792,14.6357,0.25,100,0,6.69,SE,1670270942
285,renqiu,38.6989,116.0936,-4.44,43,0,0.49,CN,1670270943
286,lujan,-34.5703,-59.105,36.68,30,0,1.79,AR,1670270943
287,mahebourg,-20.4081,57.7,25.16,78,40,4.63,MU,1670270929
288,hualmay,-11.0964,-77.6139,21.91,71,10,4.27,PE,1670270944
289,palm valley,30.1775,-81.3876,24.12,71,100,1.61,US,1670270944
290,sokolka,53.4072,23.5023,-1.85,94,100,4.68,PL,1670270945
291,narsaq,60.9167,-46.05,7.12,72,72,4.95,GL,1670270945
292,turukhansk,65.8167,87.9833,-3.93,96,100,6.13,RU,1670270946
293,kitimat,54.0524,-128.6534,-0.81,69,3,0.18,CA,1670270946
294,harindanga,22.0383,88.3214,18.5,40,3,3.59,IN,1670270947
295,masallatah,32.6167,14.0,17.62,56,0,3.23,LY,1670270947
296,adrar,20.5022,-10.0711,24.98,22,6,1.3,MR,1670270948
297,luderitz,-26.6481,15.1594,16.64,67,3,10.34,NA,1670270867
298,half moon bay,37.4636,-122.4286,15.9,75,0,6.69,US,1670270931
299,tateyama,34.9833,139.8667,6.17,94,100,10.29,JP,1670270949
300,pilar,-9.5972,-35.9567,23.96,88,49,3.74,BR,1670270949
301,beira,-19.8436,34.8389,27.05,94,20,5.14,MZ,1670270950
302,altay,47.8667,88.1167,-12.31,83,100,2.43,CN,1670270950
303,gravdal,68.1214,13.5031,2.94,87,75,13.89,NO,1670270951
304,los llanos de aridane,28.6585,-17.9182,17.86,88,40,3.09,ES,1670270952
305,victoria point,-27.5833,153.3,22.73,88,7,0.89,AU,1670270952
306,grindavik,63.8424,-22.4338,-1.74,100,20,2.06,IS,1670270938
307,walvis bay,-22.9575,14.5053,15.61,74,0,7.69,NA,1670270953
308,san cristobal,7.7669,-72.225,23.68,72,68,1.65,VE,1670270954
309,tartagal,-22.5164,-63.8013,37.52,17,51,3.1,AR,1670270954
310,berlevag,70.8578,29.0864,1.0,86,100,7.2,NO,1670270955
311,hoa binh,20.8133,105.3383,14.97,86,74,0.84,VN,1670270955
312,kieta,-6.2167,155.6333,26.12,81,100,0.82,PG,1670270956
313,ambilobe,-13.2,49.05,24.54,83,31,0.39,MG,1670270956
314,svetlyy,54.675,20.1347,-0.97,90,100,3.6,RU,1670270957
315,hamilton,39.1834,-84.5333,9.43,53,100,1.34,US,1670270441
316,okha,53.5739,142.9478,-18.55,92,33,5.63,RU,1670270957
317,krasnoborsk,61.5598,45.934,-8.63,73,100,2.97,RU,1670270958
318,praia da vitoria,38.7333,-27.0667,15.98,91,91,4.21,PT,1670270959
319,plouzane,48.3833,-4.6167,4.03,87,0,5.14,FR,1670270959
320,olafsvik,64.8945,-23.7142,4.25,78,21,2.26,IS,1670270960
321,kahului,20.8947,-156.47,27.01,64,0,4.12,US,1670270702
322,shache,38.4167,77.2406,-5.73,40,0,1.16,CN,1670270961
323,san mateo del mar,16.2,-95.0,28.63,62,0,11.78,MX,1670270961
324,provost,52.3501,-110.2683,-19.75,92,100,1.05,CA,1670270299
325,sayyan,15.1718,44.3244,10.19,36,0,1.27,YE,1670270962
326,puro,12.4841,123.3827,25.48,85,82,4.12,PH,1670270962
327,mareeba,-17.0,145.4333,18.58,90,3,0.87,AU,1670270963
328,tasiilaq,65.6145,-37.6368,-2.91,62,43,3.09,GL,1670270963
329,pitimbu,-7.4706,-34.8086,26.33,76,42,6.09,BR,1670270964
330,southbridge,42.0751,-72.0334,8.06,70,94,1.79,US,1670270964
331,pytalovo,57.0679,27.9138,-6.97,90,100,4.22,RU,1670270965
332,la maddalena,41.2142,9.4083,9.09,69,58,2.2,IT,1670270965
333,auburn hills,42.6875,-83.2341,5.44,45,100,2.06,US,1670270966
334,waingapu,-9.6567,120.2641,25.46,83,100,1.06,ID,1670270966
335,lovozero,68.005,35.0117,-7.84,90,100,3.09,RU,1670270967
336,nogliki,51.8333,143.1667,-15.56,90,39,4.53,RU,1670270967
337,gwanda,-20.9333,29.0,24.16,59,100,6.47,ZW,1670270989
338,neustrelitz,53.3667,13.0833,1.62,97,100,1.13,DE,1670270989
339,sao jose do belmonte,-7.8614,-38.7597,28.83,46,96,3.89,BR,1670270990
340,kautokeino,69.0125,23.0412,-11.01,96,99,1.31,NO,1670270990
341,vila franca do campo,37.7167,-25.4333,16.78,82,72,5.87,PT,1670270991
342,sao felix do xingu,-6.6447,-51.995,25.83,79,100,1.27,BR,1670270992
343,aliaga,15.5167,120.8667,27.72,87,63,1.19,PH,1670270992
344,saint anthony,45.0205,-93.218,-0.61,62,100,5.66,US,1670270851
345,upington,-28.4478,21.2561,21.53,13,78,3.23,ZA,1670270993
346,nemuro,43.3236,145.575,-1.96,56,0,5.89,JP,1670270993
347,lithakia,37.7167,20.8333,12.65,80,98,4.61,GR,1670270994
348,vanimo,-2.6741,141.3028,25.51,89,100,1.97,PG,1670270994
349,wuda,39.4994,106.7117,-6.08,44,22,0.16,CN,1670270995
350,semnan,35.5729,53.3971,3.43,83,97,0.58,IR,1670270995
351,ransang,8.9603,117.5828,25.51,84,86,1.43,PH,1670270996
352,guerrero negro,27.9769,-114.0611,20.14,63,9,6.74,MX,1670270982
353,nanortalik,60.1432,-45.2371,0.92,76,92,7.75,GL,1670270996
354,sitka,57.0531,-135.33,4.94,75,100,3.09,US,1670270997
355,navolato,24.7672,-107.6944,33.13,26,25,3.63,MX,1670270997
356,san jeronimo,-11.9472,-75.2829,15.26,51,92,3.98,PE,1670270998
357,nuevo progreso,23.1667,-97.95,28.83,54,0,2.24,MX,1670270998
358,mamallapuram,12.6264,80.1722,28.03,74,99,4.52,IN,1670270999
359,olinda,-8.0089,-34.8553,25.85,78,75,2.57,BR,1670270866
360,port keats,-14.25,129.55,27.98,76,61,3.36,AU,1670270999
361,ancud,-41.8697,-73.8203,13.5,96,100,8.42,CL,1670270943
362,volax,41.3167,24.0,4.35,92,100,0.56,GR,1670271000
363,tual,-5.6667,132.75,27.92,70,100,1.86,ID,1670270839
364,saint-augustin,51.226,-58.6502,-5.32,82,5,2.21,CA,1670271001
365,axim,4.8699,-2.2405,26.44,84,50,3.45,GH,1670271002
366,bagotville,-28.9833,153.4167,19.36,99,1,2.51,AU,1670271003
367,tiznit,29.5833,-9.5,15.07,83,33,0.61,MA,1670271003
368,gainesville,29.6516,-82.3248,25.01,67,100,2.06,US,1670270836
369,puerto penasco,31.3167,-113.5333,18.28,89,0,0.89,MX,1670270736
370,todos santos,23.45,-110.2167,35.03,65,87,5.57,MX,1670271005
371,iquitos,-3.7481,-73.2472,32.02,58,40,3.09,PE,1670271005
372,galle,6.0367,80.217,24.67,85,100,0.57,LK,1670271006
373,mbanza-ngungu,-5.25,14.8667,21.0,87,97,0.45,CD,1670271006
374,chokwe,-24.5333,32.9833,22.65,87,100,5.99,MZ,1670271007
375,pankrushikha,53.8319,80.3406,-22.06,99,23,1.75,RU,1670271007
376,singaraja,-8.112,115.0882,26.44,77,100,0.83,ID,1670271008
377,shingu,33.7333,135.9833,7.19,88,75,2.8,JP,1670270996
378,mokhsogollokh,61.4681,128.9203,-26.39,99,100,1.13,RU,1670271008
379,bambous virieux,-20.3428,57.7575,25.14,78,40,4.63,MU,1670271001
380,riberalta,-10.9833,-66.1,22.11,94,100,0.0,BO,1670271009
381,doha,25.2867,51.5333,24.99,73,0,3.09,QA,1670271010
382,kongolo,-5.3833,27.0,19.51,98,100,1.03,CD,1670271010
383,maltahohe,-24.8333,16.9833,19.05,16,0,6.11,NA,1670271011
384,woodstock,43.1334,-80.7497,4.48,65,100,5.36,CA,1670270980
385,naivasha,-0.7167,36.4359,13.41,88,100,1.42,KE,1670271012
386,oeiras,-7.0253,-42.1311,32.91,37,64,1.45,BR,1670270815
387,mongu,-15.2484,23.1274,24.95,48,63,3.86,ZM,1670271012
388,necochea,-38.5473,-58.7368,34.32,27,4,5.92,AR,1670271013
389,mulanje,-16.0316,35.5,23.0,74,35,3.02,MW,1670271014
390,yantal,56.8471,105.2542,-12.6,92,100,6.99,RU,1670271014
391,uchiza,-8.4592,-76.4633,30.6,54,28,0.7,PE,1670271015
392,santa ana,33.7456,-117.8678,18.91,62,75,4.12,US,1670270965
393,nago,26.5881,127.9761,18.24,81,100,8.13,JP,1670271015
394,uvalde,29.3669,-99.767,18.4,100,100,1.54,US,1670271016
395,bulawayo,-20.15,28.5833,22.88,49,79,5.88,ZW,1670271016
396,grand-santi,4.25,-54.3833,28.69,62,99,0.65,GF,1670270984
397,dawson,31.7735,-84.4466,21.68,70,100,2.11,US,1670271017
398,batemans bay,-35.7167,150.1833,16.17,90,17,2.16,AU,1670271018
399,pisco,-13.7,-76.2167,21.12,78,20,4.63,PE,1670270876
400,cockburn town,21.4612,-71.1419,26.09,64,23,9.23,TC,1670271018
401,nelson bay,-32.7167,152.15,20.0,91,40,3.58,AU,1670271019
402,bronnoysund,65.4625,12.1997,4.0,81,75,7.72,NO,1670271019
403,kant,27.8,79.8,14.84,45,0,2.55,IN,1670271020
404,hermiston,45.8404,-119.2895,0.92,89,100,1.54,US,1670270977
405,calvinia,-31.4707,19.776,12.37,67,100,2.81,ZA,1670271021
406,lodja,-3.4833,23.4333,19.45,97,50,0.99,CD,1670271021
407,mandalgovi,45.7625,106.2708,-15.36,42,0,3.59,MN,1670270815
408,svetlogorsk,52.6333,29.7333,-10.35,88,78,3.87,BY,1670271022
409,manggar,-2.8833,108.2667,25.74,84,100,1.09,ID,1670271023
410,longyearbyen,78.2186,15.6401,-13.09,66,40,11.83,SJ,1670270876
411,yaan,7.3833,8.5667,28.4,19,88,1.43,NG,1670271024
412,yakovlevka,44.425,133.4772,-15.59,93,5,1.42,RU,1670271024
413,aguimes,27.9054,-15.4461,20.35,73,40,1.54,ES,1670271025
414,gazanjyk,39.2446,55.5154,-3.54,47,0,3.95,TM,1670270993
415,hasaki,35.7333,140.8333,5.12,85,100,11.43,JP,1670271025
416,isangel,-19.55,169.2667,27.83,74,44,1.63,VU,1670271026
417,raudeberg,61.9875,5.1352,3.31,22,97,8.61,NO,1670271026
418,mersin,36.862,34.6509,14.74,50,5,2.33,TR,1670271027
419,dzaoudzi,-12.7887,45.2699,24.94,94,75,1.03,YT,1670271027
420,mamontovo,52.7055,81.6244,-18.6,97,100,1.86,RU,1670271028
421,sola,-13.8833,167.55,27.44,71,85,3.62,VU,1670271028
422,maniitsoq,65.4167,-52.9,2.56,84,100,15.06,GL,1670271029
423,balurghat,25.2167,88.7667,17.64,53,0,3.34,IN,1670270937
424,tolaga bay,-38.3667,178.3,19.99,51,50,1.7,NZ,1670271011
425,chihuahua,28.5,-106.0,22.46,27,100,7.6,MX,1670270680
426,anadyr,64.75,177.4833,-2.72,92,100,18.0,RU,1670271025
427,djougou,9.7085,1.666,27.83,21,18,2.49,BJ,1670271030
428,sur,22.5667,59.5289,23.06,62,0,1.24,OM,1670271031
429,zyryanka,65.75,150.85,-44.71,98,36,2.23,RU,1670271031
430,goderich,43.7501,-81.7165,4.39,53,100,9.51,CA,1670271020
431,sarkand,45.41,79.9186,-8.12,95,100,0.25,KZ,1670271032
432,formosa,-26.1775,-58.1781,34.99,38,20,4.12,AR,1670271033
433,aksarka,66.5606,67.7975,-15.68,95,20,3.18,RU,1670271033
434,sechura,-5.5569,-80.8222,24.73,58,14,7.01,PE,1670271033
435,bambanglipuro,-7.95,110.2833,24.33,92,100,1.76,ID,1670271034
436,hun,29.1268,15.9477,20.52,21,15,1.29,LY,1670271034
437,touros,-5.1989,-35.4608,27.39,67,17,6.0,BR,1670271035
438,zhigansk,66.7697,123.3711,-28.56,98,100,0.59,RU,1670271035
439,biloela,-24.4167,150.5,20.38,81,0,0.98,AU,1670271036
440,husavik,66.0449,-17.3389,-0.35,80,91,4.36,IS,1670270818
441,sao joao da barra,-21.6403,-41.0511,26.05,82,77,8.85,BR,1670271037
442,aykhal,66.0,111.5,-23.79,97,100,5.95,RU,1670271037
443,portland,45.5234,-122.6762,6.64,79,20,2.24,US,1670270680
444,casablanca,33.5928,-7.6192,17.12,82,6,10.0,MA,1670270977
445,ballina,-28.8667,153.5667,19.45,99,0,2.22,AU,1670271000
446,darab,28.7519,54.5444,14.67,58,10,0.78,IR,1670271038
447,yanji,42.9075,129.5078,-11.11,69,2,2.69,CN,1670271039
448,lazarev,52.225,141.5131,-16.3,74,44,6.57,RU,1670271039
449,manjeri,11.1167,76.1167,23.38,94,40,0.0,IN,1670271040
450,saraland,30.8207,-88.0706,23.4,80,100,2.33,US,1670271040
451,vostok,46.4856,135.8833,-21.77,98,49,2.63,RU,1670271041
452,port-au-prince,18.5392,-72.335,29.79,51,20,4.12,HT,1670271000
453,moerai,-22.4333,-151.3333,25.1,78,100,4.95,PF,1670271041
454,ribeira grande,38.5167,-28.7,17.22,72,40,8.75,PT,1670270796
455,dubbo,-32.25,148.6167,15.07,67,69,3.6,AU,1670271042
456,lorengau,-2.0226,147.2712,25.99,80,100,1.52,PG,1670271043
457,muscat,23.6139,58.5922,23.01,65,0,2.53,OM,1670270789
458,nishihara,26.1842,127.7558,18.6,91,100,11.83,JP,1670271043
459,sao jose dos campos,-23.1794,-45.8869,24.27,94,75,1.03,BR,1670270743
460,novoagansk,61.9449,76.6625,-12.35,97,95,3.69,RU,1670271044
461,oktyabrskiy,54.4815,53.471,-20.99,100,97,0.78,RU,1670271044
462,chimbote,-9.0853,-78.5783,21.52,71,10,4.46,PE,1670271045
463,nabire,-3.3667,135.4833,23.86,84,94,2.31,ID,1670271046
464,ludwigslust,53.3167,11.5,2.12,99,100,0.74,DE,1670271046
465,uzhur,55.3036,89.8339,-23.57,97,65,1.94,RU,1670271047
466,camacha,33.0833,-16.3333,15.68,82,20,1.03,PT,1670270978
467,okhotsk,59.3833,143.3,-30.38,82,59,3.71,RU,1670271048
468,mae sai,20.4335,99.8762,18.67,96,46,0.73,TH,1670271048
469,thurles,52.6819,-7.8022,5.9,92,99,4.43,IE,1670271048
470,manvi,15.9833,77.05,20.84,60,8,3.24,IN,1670271049
471,ilulissat,69.2167,-51.1,4.01,48,75,2.57,GL,1670270981
472,moba,33.2288,105.0179,-3.92,94,77,0.69,CN,1670271050
473,mwanza,-2.5167,32.9,23.33,60,100,1.18,TZ,1670271050
474,padang,-0.9492,100.3543,24.64,89,100,1.85,ID,1670271051
475,korla,41.7597,86.1469,-5.68,41,26,1.06,CN,1670270998
476,geraldton,-28.7667,114.6,21.23,78,100,6.69,AU,1670270719
477,strezhevoy,60.7333,77.5889,-14.45,96,96,3.52,RU,1670271052
478,bara,10.3744,10.7288,23.72,18,6,3.36,NG,1670271052
479,saint-georges,12.0564,-61.7485,25.97,71,55,4.05,GD,1670270897
480,behshahr,36.6923,53.5526,5.27,79,48,0.77,IR,1670271053
481,labuan,5.2767,115.2417,26.3,83,90,2.67,MY,1670270961
482,xining,36.6167,101.7667,-4.1,51,100,1.16,CN,1670270832
483,oistins,13.0667,-59.5333,28.62,65,20,2.57,BB,1670271054
484,coihaique,-45.5752,-72.0662,13.34,95,100,3.34,CL,1670270999
485,constitucion,-35.3333,-72.4167,19.07,60,7,7.94,CL,1670270841
486,el centro,32.792,-115.563,22.97,33,0,6.69,US,1670271055
487,jalu,29.0331,21.5482,18.54,35,0,3.62,LY,1670271015
488,kurilsk,45.2333,147.8833,-0.84,70,99,6.63,RU,1670271055
489,xinye,32.5186,112.3522,3.08,55,23,2.01,CN,1670271056
490,kemi,65.8596,24.8228,0.87,93,100,8.23,FI,1670271056
491,san patricio,28.017,-97.5169,27.26,57,65,6.67,US,1670271057
492,wolfsburg,52.4333,10.8,2.37,99,100,2.35,DE,1670271058
493,batagay-alyta,67.8006,130.4114,-25.98,100,100,1.0,RU,1670271013
494,boshnyakovo,49.6333,142.1667,-10.24,72,100,5.65,RU,1670271059
495,tucurui,-3.7661,-49.6725,25.14,78,90,1.57,BR,1670270962
496,ambon,-3.6954,128.1814,25.13,15,40,3.6,ID,1670271059
497,pascagoula,30.3658,-88.5561,23.4,85,100,0.0,US,1670271060
498,srikakulam,18.3,83.9,19.89,83,75,2.74,IN,1670271060
499,waipawa,-41.4122,175.5153,15.89,60,0,5.67,NZ,1670271061
500,milkovo,54.7167,158.6167,-15.12,89,70,3.59,RU,1670271061
501,gorontalo,0.5412,123.0595,23.51,94,100,1.15,ID,1670271062
502,inirida,3.8653,-67.9239,25.92,91,94,1.48,CO,1670271062
503,livingstonia,-10.606,34.1063,21.68,56,66,1.28,MW,1670271063
504,ormara,25.2088,64.6357,24.38,58,0,4.37,PK,1670271064
505,araouane,18.9048,-3.5265,27.93,16,100,1.93,ML,1670271064
506,namibe,-15.1961,12.1522,21.57,77,13,2.53,AO,1670271065
507,escarcega,18.6089,-90.7454,30.79,34,22,1.61,MX,1670271065
508,afua,-0.1567,-50.3867,26.43,80,100,2.16,BR,1670271066
509,meulaboh,4.1363,96.1285,23.3,94,100,1.48,ID,1670271066
510,silver city,32.7701,-108.2803,14.98,70,75,6.17,US,1670271067
511,luangwa,-15.6167,30.4167,27.84,44,46,1.16,ZM,1670271067
512,bellevue,47.6104,-122.2007,4.77,89,100,0.45,US,1670270383
513,lima,-12.0432,-77.0282,21.63,67,8,4.23,PE,1670270501
514,napasar,27.9667,73.55,14.56,28,0,2.34,IN,1670271068
515,olhao,37.0286,-7.8411,14.49,89,40,3.09,PT,1670271069
516,manokwari,-0.8667,134.0833,25.87,80,100,1.95,ID,1670271069
517,sibenik,43.7272,15.9058,14.81,79,40,3.13,HR,1670271070
518,santa lucia,27.9117,-15.5407,17.62,73,40,1.54,ES,1670271070
519,sosnovo-ozerskoye,52.5249,111.5418,-12.63,80,100,10.58,RU,1670271071
520,dakar,14.6937,-17.4441,25.49,74,16,7.02,SN,1670271071
521,moose factory,51.2585,-80.6094,-10.78,83,94,4.27,CA,1670271072
522,bozoum,6.3193,16.3799,23.95,31,8,1.14,CF,1670271072
523,avera,33.194,-82.5271,11.88,95,100,2.81,US,1670271049
524,georgiyevka,43.0369,74.7114,-5.98,93,100,2.0,KZ,1670271073
525,evanston,42.0411,-87.6901,6.8,58,100,3.6,US,1670270927
526,ikwiriri,-7.9562,38.9716,23.25,93,100,1.41,TZ,1670271074
527,havre-saint-pierre,50.2334,-63.5986,-0.18,68,100,10.28,CA,1670271074
528,santiago,-33.4569,-70.6483,32.38,27,0,8.75,CL,1670271075
529,noyabrsk,63.1994,75.4507,-15.27,97,96,4.27,RU,1670271075
530,raton,36.9034,-104.4391,17.34,15,0,8.23,US,1670271076
531,inegol,40.0781,29.5133,8.6,89,100,0.2,TR,1670271076
532,ayan,56.45,138.1667,-12.11,59,100,5.1,RU,1670271053
533,visalia,36.3302,-119.2921,15.32,81,60,0.89,US,1670270414
534,honningsvag,70.9821,25.9704,3.86,81,75,5.14,NO,1670270833
535,mnogovershinnyy,53.9353,139.9242,-23.07,91,60,2.51,RU,1670271078
536,opuwo,-18.0607,13.84,24.13,31,26,3.75,NA,1670270863
